AppTimestamp	AppTimestampReceived	HostTimestamp	HostTimestampReceived	HostTimestampRequest	HostTimestampResponse
19890672	19891871	2773594503	2885625464	2885624265	2885624831	
20000265	20001336	2773704082	2885734929	2885733858	2885734357	
20110424	20111886	2773814260	2885845478	2885844016	2885844551	
20221639	20223146	2773925467	2885956739	2885955232	2885955783	
20333839	20334694	2774037636	2886068286	2886067431	2886067967	
20444141	20445104	2774148014	2886178696	2886177733	2886178340	
20554368	20555370	2774258146	2886288962	2886287960	2886288561	
20665872	20666708	2774369691	2886400300	2886399464	2886399984	
20774951	20776644	2774478773	2886510236	2886508543	2886509082	
20996674	20998030	2774700568	2886731623	2886730267	2886730961	
21436301	21437434	2775140221	2887171026	2887169893	2887170499	
22322034	22323673	2776025887	2888057266	2888055627	2888056139	
23982357	23983480	2777686199	2889717073	2889715950	2889716464	
27185522	27187933	2780889430	2892921524	2892919113	2892919727	
33629650	33633287	2787333540	2899366879	2899363242	2899363748	
44186586	44191913	2797890902	2909925506	2909920179	2909922146	
54285558	54287079	2807989739	2920020670	2920019149	2920020129	
64316096	64317750	2818020394	2930051341	2930049687	2930050743	
74417671	74419892	2828121965	2940153483	2940151262	2940151894	
84526887	84528445	2838231283	2950262038	2950260480	2950261129	
94527903	94530262	2848232360	2960263854	2960261495	2960262347	
104632185	104634624	2858336754	2970368216	2970365777	2970366681	
114729229	114731269	2868433841	2980464860	2980462820	2980463458	
124832498	124833807	2878537216	2990567399	2990566090	2990566790	
134942343	134943646	2888647096	3000677238	3000675935	3000676712	
145037357	145039691	2898742265	3010773283	3010770949	3010771841	
155093513	155095908	2908798485	3020829500	3020827105	3020827988	
165122807	165124897	2918827913	3030858488	3030856398	3030857141	
175190935	175191859	2928895740	3040925451	3040924527	3040924883	
185275091	185277186	2938980234	3051010778	3051008683	3051009390	
195383420	195384857	2949088774	3061118449	3061117012	3061117861	
205450788	205453768	2959156182	3071187359	3071184379	3071185453	
