scope,target,metric,test,p_value,effect,effect_lab,n_off,n_on,stars,note
Session 2,PARTIAL_REVERSAL,fisher,Fisher's exact,,,N/A,0,6,,
Session 2,PARTIAL_REVERSAL,chi2,Chi-square,,,N/A,0,6,,
Session 2,PARTIAL_REVERSAL,wilcoxon,Wilcoxon signed-rank,,,N/A,0,6,,descriptive at n<5 sessions
Session 2,PARTIAL_REVERSAL,rm_anova,RM-ANOVA F,,,N/A,0,6,,degrees of freedom ≤ 0 or no variance | descriptive at n<5 sessions
Session 2,PARTIAL_REVERSAL,completeness,completeness,,,N/A,0,6,,need ≥ 2 trials per group for RCS test
Session 2,OTHER,fisher,Fisher's exact,,,N/A,0,6,,
Session 2,OTHER,chi2,Chi-square,,,N/A,0,6,,
Session 2,OTHER,wilcoxon,Wilcoxon signed-rank,,,N/A,0,6,,descriptive at n<5 sessions
Session 2,OTHER,rm_anova,RM-ANOVA F,,,N/A,0,6,,degrees of freedom ≤ 0 or no variance | descriptive at n<5 sessions
Session 2,OTHER,completeness,completeness,,,N/A,0,6,,need ≥ 2 trials per group for RCS test
Session 3,PARTIAL_REVERSAL,fisher,Fisher's exact,1.0,,N/A,1,4,ns,
Session 3,PARTIAL_REVERSAL,chi2,Chi-square,,,N/A,1,4,,
Session 3,PARTIAL_REVERSAL,wilcoxon,Wilcoxon signed-rank,,,N/A,1,4,,descriptive at n<5 sessions
Session 3,PARTIAL_REVERSAL,rm_anova,RM-ANOVA F,,,N/A,1,4,,degrees of freedom ≤ 0 or no variance | descriptive at n<5 sessions
Session 3,PARTIAL_REVERSAL,completeness,completeness,,,N/A,1,4,,need ≥ 2 trials per group for RCS test
Session 3,OTHER,fisher,Fisher's exact,1.0,,N/A,1,4,ns,
Session 3,OTHER,chi2,Chi-square,,,N/A,1,4,,
Session 3,OTHER,wilcoxon,Wilcoxon signed-rank,,,N/A,1,4,,descriptive at n<5 sessions
Session 3,OTHER,rm_anova,RM-ANOVA F,,,N/A,1,4,,degrees of freedom ≤ 0 or no variance | descriptive at n<5 sessions
Session 3,OTHER,completeness,completeness,,,N/A,1,4,,need ≥ 2 trials per group for RCS test
Combined (S2+S3),PARTIAL_REVERSAL,fisher,Fisher's exact,1.0,,N/A,1,10,ns,
Combined (S2+S3),PARTIAL_REVERSAL,chi2,Chi-square,0.5207033237981,0.19364916731037085,small,1,10,ns,expected<5 — interpret with care
Combined (S2+S3),PARTIAL_REVERSAL,wilcoxon,Wilcoxon signed-rank,,,N/A,1,10,,descriptive at n<5 sessions
Combined (S2+S3),PARTIAL_REVERSAL,rm_anova,RM-ANOVA F,,,N/A,1,10,,degrees of freedom ≤ 0 or no variance | descriptive at n<5 sessions
Combined (S2+S3),PARTIAL_REVERSAL,completeness,completeness,,,N/A,1,10,,need ≥ 2 trials per group for RCS test
Combined (S2+S3),OTHER,fisher,Fisher's exact,1.0,,N/A,1,10,ns,
Combined (S2+S3),OTHER,chi2,Chi-square,0.5207033237981,0.19364916731037085,small,1,10,ns,expected<5 — interpret with care
Combined (S2+S3),OTHER,wilcoxon,Wilcoxon signed-rank,,,N/A,1,10,,descriptive at n<5 sessions
Combined (S2+S3),OTHER,rm_anova,RM-ANOVA F,,,N/A,1,10,,degrees of freedom ≤ 0 or no variance | descriptive at n<5 sessions
Combined (S2+S3),OTHER,completeness,completeness,,,N/A,1,10,,need ≥ 2 trials per group for RCS test
