trial_num,window,stim_on_s2,stim_on_s3,stim_frac_s2,stim_frac_s3,mean_mA_s2,mean_mA_s3,acc_s2,acc_s3,digits_s2,agreement,discordance_type,mean_acc
1,Fixation,False,False,0.0,0.0,1.1,0.1,1,1,2,True,Both OFF,1.0
1,Stimulus,False,False,0.0,0.0,0.97,0.03,1,1,2,True,Both OFF,1.0
1,Choice,False,False,0.0,0.0,0.85,0.05,1,1,2,True,Both OFF,1.0
1,Feedback,False,False,0.0,0.0,0.825,0.025,1,1,2,True,Both OFF,1.0
2,Fixation,False,False,0.0,0.0,0.9,0.1,1,1,2,True,Both OFF,1.0
2,Stimulus,False,False,0.0,0.0,1.0,0.033,1,1,2,True,Both OFF,1.0
2,Choice,False,False,0.0,0.0,1.1,0.1,1,1,2,True,Both OFF,1.0
2,Feedback,False,False,0.0,0.0,1.2,0.2,1,1,2,True,Both OFF,1.0
3,Fixation,False,True,0.0,1.0,1.9,4.5,1,1,3,False,S2 OFF / S3 ON,1.0
3,Stimulus,False,True,0.4,0.778,1.96,3.35,1,1,3,False,S2 OFF / S3 ON,1.0
3,Choice,False,False,0.333,0.0,1.95,0.06,1,1,3,True,Both OFF,1.0
3,Feedback,False,False,0.0,0.0,0.075,0.1,1,1,3,True,Both OFF,1.0
4,Fixation,False,False,0.0,0.0,0.1,0.2,1,0,3,True,Both OFF,0.5
4,Stimulus,False,True,0.0,0.778,0.056,3.05,1,0,3,False,S2 OFF / S3 ON,0.5
4,Choice,False,False,0.0,0.0,0.03,0.11,1,0,3,True,Both OFF,0.5
4,Feedback,False,False,0.0,0.0,0.025,0.175,1,0,3,True,Both OFF,0.5
5,Fixation,False,False,0.0,0.0,0.0,0.1,1,0,4,True,Both OFF,0.5
5,Stimulus,False,False,0.0,0.0,0.081,0.155,1,0,4,True,Both OFF,0.5
5,Choice,False,False,0.0,0.0,1.03,0.143,1,0,4,True,Both OFF,0.5
5,Feedback,False,False,0.0,0.0,1.025,0.175,1,0,4,True,Both OFF,0.5
6,Fixation,False,False,0.0,0.0,1.0,0.1,0,1,4,True,Both OFF,0.5
