Session,Comparison,Group 1 (OFF / Easy / 1st),Group 2 (ON  / Hard / 2nd),p-value,Cohen's d,Effect Size,Sig
S2,Reversal Failure,16.7% (1/6),87.5% (7/8),0.0256,-1.88,large,*
S2,Intrusion Error,16.7% (1/6),12.5% (1/8),1.0000,+0.11,negligible,ns
S2,Easy OFF vs Easy ON,100.0% (4/4),N/A,N/A,N/A,N/A,N/A
S2,Hard OFF vs Hard ON,50.0% (1/2),12.5% (1/8),0.3778,+0.90,large,ns
S2,ON: Easy vs Hard,N/A,12.5% (1/8),N/A,N/A,N/A,N/A
S2,OFF: Easy vs Hard,100.0% (4/4),50.0% (1/2),0.3333,+1.41,large,ns
S3,Reversal Failure,41.7% (5/12),50.0% (1/2),1.0000,-0.16,negligible,ns
S3,Intrusion Error,0.0% (0/12),0.0% (0/2),1.0000,N/A,N/A,ns
S3,Easy OFF vs Easy ON,58.3% (7/12),50.0% (1/2),1.0000,+0.16,negligible,ns
S3,Hard OFF vs Hard ON,N/A,N/A,N/A,N/A,N/A,N/A
S3,ON: Easy vs Hard,50.0% (1/2),N/A,N/A,N/A,N/A,N/A
S3,OFF: Easy vs Hard,58.3% (7/12),N/A,N/A,N/A,N/A,N/A
S2+S3,Reversal Failure,33.3% (6/18),80.0% (8/10),0.0461,-1.01,large,*
S2+S3,Intrusion Error,5.6% (1/18),10.0% (1/10),1.0000,-0.17,negligible,ns
S2+S3,Easy OFF vs Easy ON,68.8% (11/16),50.0% (1/2),1.0000,+0.38,small,ns
S2+S3,Hard OFF vs Hard ON,50.0% (1/2),12.5% (1/8),0.3778,+0.90,large,ns
S2+S3,ON: Easy vs Hard,50.0% (1/2),12.5% (1/8),0.3778,+0.90,large,ns
S2+S3,OFF: Easy vs Hard,68.8% (11/16),50.0% (1/2),1.0000,+0.38,small,ns
