Time,Time_ms,Event,Block,Trial_In_Block,Event_Type,Trial_Number,Sample_Index,Time_Relative,Valid,ACC,CRESP,RESP,Num_Digits,Window
-1165.768,33367,6.0,,,Session Start,,-291442,-1165.768,False,,,,,
-1131.7,67434,8.0,1.0,1.0,Main Trial Start,1,-282925,-1131.7,False,1,34,34,2.0,
-1131.7,67434,1.0,1.0,1.0,Fixation Start,1,-282925,-1131.7,False,1,34,34,2.0,
-1131.684,67448,2.0,1.0,1.0,Fixation End,1,-282921,-1131.684,False,1,34,34,2.0,
-1130.688,68447,10.0,1.0,1.0,Stimulus Start,1,-282672,-1130.688,False,1,34,34,2.0,Stimulus
-1129.68,69451,11.0,1.0,1.0,Stimulus End,1,-282420,-1129.68,False,1,34,34,2.0,Stimulus
-1129.68,69451,1.0,1.0,1.0,Fixation Start,1,-282420,-1129.68,False,1,34,34,2.0,Stimulus
-1129.66,69473,2.0,1.0,1.0,Fixation End,1,-282415,-1129.66,False,1,34,34,2.0,Stimulus
-1128.66,70472,10.0,1.0,1.0,Stimulus Start,1,-282165,-1128.66,False,1,34,34,2.0,Stimulus
-1127.656,71476,11.0,1.0,1.0,Stimulus End,1,-281914,-1127.656,False,1,34,34,2.0,Stimulus
-1127.656,71476,12.0,1.0,1.0,Choice Start,1,-281914,-1127.656,False,1,34,34,2.0,Choice
-1125.4,73731,13.0,1.0,1.0,Choice End,1,-281350,-1125.4,False,1,34,34,2.0,Choice
-1125.4,73731,14.0,1.0,1.0,Feedback Start,1,-281350,-1125.4,False,1,34,34,2.0,
-1123.888,75243,15.0,1.0,1.0,Feedback End,1,-280972,-1123.888,False,1,34,34,2.0,
-1123.888,75243,9.0,1.0,1.0,Main Trial End,1,-280972,-1123.888,False,1,34,34,2.0,
-1123.888,75243,8.0,1.0,2.0,Main Trial Start,2,-280972,-1123.888,False,1,25,25,2.0,
-1123.888,75243,1.0,1.0,2.0,Fixation Start,2,-280972,-1123.888,False,1,25,25,2.0,
-1123.864,75269,2.0,1.0,2.0,Fixation End,2,-280966,-1123.864,False,1,25,25,2.0,
-1122.864,76268,10.0,1.0,2.0,Stimulus Start,2,-280716,-1122.864,False,1,25,25,2.0,Stimulus
-1121.852,77280,11.0,1.0,2.0,Stimulus End,2,-280463,-1121.852,False,1,25,25,2.0,Stimulus
-1121.852,77280,1.0,1.0,2.0,Fixation Start,2,-280463,-1121.852,False,1,25,25,2.0,Stimulus
-1121.836,77298,2.0,1.0,2.0,Fixation End,2,-280459,-1121.836,False,1,25,25,2.0,Stimulus
-1120.836,78297,10.0,1.0,2.0,Stimulus Start,2,-280209,-1120.836,False,1,25,25,2.0,Stimulus
-1119.832,79301,11.0,1.0,2.0,Stimulus End,2,-279958,-1119.832,False,1,25,25,2.0,Stimulus
-1119.832,79301,12.0,1.0,2.0,Choice Start,2,-279958,-1119.832,False,1,25,25,2.0,Choice
-1118.32,80811,13.0,1.0,2.0,Choice End,2,-279580,-1118.32,False,1,25,25,2.0,Choice
-1118.32,80811,14.0,1.0,2.0,Feedback Start,2,-279580,-1118.32,False,1,25,25,2.0,
-1116.812,82322,15.0,1.0,2.0,Feedback End,2,-279203,-1116.812,False,1,25,25,2.0,
-1116.812,82322,9.0,1.0,2.0,Main Trial End,2,-279203,-1116.812,False,1,25,25,2.0,
-1116.812,82322,8.0,2.0,1.0,Main Trial Start,3,-279203,-1116.812,False,1,141,141,3.0,
-1116.812,82322,1.0,2.0,1.0,Fixation Start,3,-279203,-1116.812,False,1,141,141,3.0,
-1116.784,82348,2.0,2.0,1.0,Fixation End,3,-279196,-1116.784,False,1,141,141,3.0,
-1115.784,83347,10.0,2.0,1.0,Stimulus Start,3,-278946,-1115.784,False,1,141,141,3.0,Stimulus
-1114.784,84351,11.0,2.0,1.0,Stimulus End,3,-278696,-1114.784,False,1,141,141,3.0,Stimulus
-1114.784,84351,1.0,2.0,1.0,Fixation Start,3,-278696,-1114.784,False,1,141,141,3.0,Stimulus
-1114.764,84369,2.0,2.0,1.0,Fixation End,3,-278691,-1114.764,False,1,141,141,3.0,Stimulus
-1113.764,85368,10.0,2.0,1.0,Stimulus Start,3,-278441,-1113.764,False,1,141,141,3.0,Stimulus
-1112.76,86372,11.0,2.0,1.0,Stimulus End,3,-278190,-1112.76,False,1,141,141,3.0,Stimulus
-1112.76,86372,1.0,2.0,1.0,Fixation Start,3,-278190,-1112.76,False,1,141,141,3.0,Stimulus
-1112.74,86394,2.0,2.0,1.0,Fixation End,3,-278185,-1112.74,False,1,141,141,3.0,Stimulus
-1111.74,87393,10.0,2.0,1.0,Stimulus Start,3,-277935,-1111.74,False,1,141,141,3.0,Stimulus
-1110.736,88397,11.0,2.0,1.0,Stimulus End,3,-277684,-1110.736,False,1,141,141,3.0,Stimulus
-1110.736,88397,12.0,2.0,1.0,Choice Start,3,-277684,-1110.736,False,1,141,141,3.0,Choice
-1108.584,90547,13.0,2.0,1.0,Choice End,3,-277146,-1108.584,False,1,141,141,3.0,Choice
-1108.584,90547,14.0,2.0,1.0,Feedback Start,3,-277146,-1108.584,False,1,141,141,3.0,
-1107.08,92055,15.0,2.0,1.0,Feedback End,3,-276770,-1107.08,False,1,141,141,3.0,
-1107.08,92055,9.0,2.0,1.0,Main Trial End,3,-276770,-1107.08,False,1,141,141,3.0,
-1107.08,92055,8.0,2.0,2.0,Main Trial Start,4,-276770,-1107.08,False,1,532,532,3.0,
-1107.08,92055,1.0,2.0,2.0,Fixation Start,4,-276770,-1107.08,False,1,532,532,3.0,
-1107.052,92081,2.0,2.0,2.0,Fixation End,4,-276763,-1107.052,False,1,532,532,3.0,
-1106.052,93080,10.0,2.0,2.0,Stimulus Start,4,-276513,-1106.052,False,1,532,532,3.0,Stimulus
-1105.048,94084,11.0,2.0,2.0,Stimulus End,4,-276262,-1105.048,False,1,532,532,3.0,Stimulus
-1105.048,94084,1.0,2.0,2.0,Fixation Start,4,-276262,-1105.048,False,1,532,532,3.0,Stimulus
-1105.032,94102,2.0,2.0,2.0,Fixation End,4,-276258,-1105.032,False,1,532,532,3.0,Stimulus
-1104.032,95101,10.0,2.0,2.0,Stimulus Start,4,-276008,-1104.032,False,1,532,532,3.0,Stimulus
-1103.028,96105,11.0,2.0,2.0,Stimulus End,4,-275757,-1103.028,False,1,532,532,3.0,Stimulus
-1103.028,96105,1.0,2.0,2.0,Fixation Start,4,-275757,-1103.028,False,1,532,532,3.0,Stimulus
-1103.008,96123,2.0,2.0,2.0,Fixation End,4,-275752,-1103.008,False,1,532,532,3.0,Stimulus
-1102.012,97122,10.0,2.0,2.0,Stimulus Start,4,-275503,-1102.012,False,1,532,532,3.0,Stimulus
-1100.992,98143,11.0,2.0,2.0,Stimulus End,4,-275248,-1100.992,False,1,532,532,3.0,Stimulus
-1100.992,98143,12.0,2.0,2.0,Choice Start,4,-275248,-1100.992,False,1,532,532,3.0,Choice
-1098.26,100873,13.0,2.0,2.0,Choice End,4,-274565,-1098.26,False,1,532,532,3.0,Choice
-1098.26,100873,14.0,2.0,2.0,Feedback Start,4,-274565,-1098.26,False,1,532,532,3.0,
-1096.748,102384,15.0,2.0,2.0,Feedback End,4,-274187,-1096.748,False,1,532,532,3.0,
-1096.748,102384,9.0,2.0,2.0,Main Trial End,4,-274187,-1096.748,False,1,532,532,3.0,
-1096.748,102384,8.0,3.0,1.0,Main Trial Start,5,-274187,-1096.748,False,1,5432,5432,4.0,
-1096.748,102384,1.0,3.0,1.0,Fixation Start,5,-274187,-1096.748,False,1,5432,5432,4.0,
-1096.72,102411,2.0,3.0,1.0,Fixation End,5,-274180,-1096.72,False,1,5432,5432,4.0,
-1095.724,103409,10.0,3.0,1.0,Stimulus Start,5,-273931,-1095.724,False,1,5432,5432,4.0,Stimulus
-1094.72,104414,11.0,3.0,1.0,Stimulus End,5,-273680,-1094.72,False,1,5432,5432,4.0,Stimulus
-1094.72,104414,1.0,3.0,1.0,Fixation Start,5,-273680,-1094.72,False,1,5432,5432,4.0,Stimulus
-1094.696,104436,2.0,3.0,1.0,Fixation End,5,-273674,-1094.696,False,1,5432,5432,4.0,Stimulus
-1093.7,105434,10.0,3.0,1.0,Stimulus Start,5,-273425,-1093.7,False,1,5432,5432,4.0,Stimulus
-1092.696,106439,11.0,3.0,1.0,Stimulus End,5,-273174,-1092.696,False,1,5432,5432,4.0,Stimulus
-1092.696,106439,1.0,3.0,1.0,Fixation Start,5,-273174,-1092.696,False,1,5432,5432,4.0,Stimulus
-1092.676,106456,2.0,3.0,1.0,Fixation End,5,-273169,-1092.676,False,1,5432,5432,4.0,Stimulus
-1091.68,107455,10.0,3.0,1.0,Stimulus Start,5,-272920,-1091.68,False,1,5432,5432,4.0,Stimulus
-1090.66,108472,11.0,3.0,1.0,Stimulus End,5,-272665,-1090.66,False,1,5432,5432,4.0,Stimulus
-1090.66,108472,1.0,3.0,1.0,Fixation Start,5,-272665,-1090.66,False,1,5432,5432,4.0,Stimulus
-1090.64,108494,2.0,3.0,1.0,Fixation End,5,-272660,-1090.64,False,1,5432,5432,4.0,Stimulus
-1089.64,109493,10.0,3.0,1.0,Stimulus Start,5,-272410,-1089.64,False,1,5432,5432,4.0,Stimulus
-1088.636,110497,11.0,3.0,1.0,Stimulus End,5,-272159,-1088.636,False,1,5432,5432,4.0,Stimulus
-1088.636,110497,12.0,3.0,1.0,Choice Start,5,-272159,-1088.636,False,1,5432,5432,4.0,Choice
-1085.696,113438,13.0,3.0,1.0,Choice End,5,-271424,-1085.696,False,1,5432,5432,4.0,Choice
-1085.696,113438,14.0,3.0,1.0,Feedback Start,5,-271424,-1085.696,False,1,5432,5432,4.0,
-1084.184,114947,15.0,3.0,1.0,Feedback End,5,-271046,-1084.184,False,1,5432,5432,4.0,
-1084.184,114947,9.0,3.0,1.0,Main Trial End,5,-271046,-1084.184,False,1,5432,5432,4.0,
-1084.184,114947,8.0,3.0,2.0,Main Trial Start,6,-271046,-1084.184,False,0,5421,5432,4.0,
-1084.184,114947,1.0,3.0,2.0,Fixation Start,6,-271046,-1084.184,False,0,5421,5432,4.0,
-1084.16,114974,2.0,3.0,2.0,Fixation End,6,-271040,-1084.16,False,0,5421,5432,4.0,
-1083.16,115972,10.0,3.0,2.0,Stimulus Start,6,-270790,-1083.16,False,0,5421,5432,4.0,Stimulus
-1082.156,116976,11.0,3.0,2.0,Stimulus End,6,-270539,-1082.156,False,0,5421,5432,4.0,Stimulus
-1082.156,116976,1.0,3.0,2.0,Fixation Start,6,-270539,-1082.156,False,0,5421,5432,4.0,Stimulus
-1082.14,116994,2.0,3.0,2.0,Fixation End,6,-270535,-1082.14,False,0,5421,5432,4.0,Stimulus
-1081.14,117993,10.0,3.0,2.0,Stimulus Start,6,-270285,-1081.14,False,0,5421,5432,4.0,Stimulus
-1080.136,118997,11.0,3.0,2.0,Stimulus End,6,-270034,-1080.136,False,0,5421,5432,4.0,Stimulus
-1080.136,118997,1.0,3.0,2.0,Fixation Start,6,-270034,-1080.136,False,0,5421,5432,4.0,Stimulus
-1080.112,119019,2.0,3.0,2.0,Fixation End,6,-270028,-1080.112,False,0,5421,5432,4.0,Stimulus
-1079.116,120018,10.0,3.0,2.0,Stimulus Start,6,-269779,-1079.116,False,0,5421,5432,4.0,Stimulus
-1078.112,121022,11.0,3.0,2.0,Stimulus End,6,-269528,-1078.112,False,0,5421,5432,4.0,Stimulus
-1078.112,121022,1.0,3.0,2.0,Fixation Start,6,-269528,-1078.112,False,0,5421,5432,4.0,Stimulus
-1078.092,121040,2.0,3.0,2.0,Fixation End,6,-269523,-1078.092,False,0,5421,5432,4.0,Stimulus
-1077.096,122039,10.0,3.0,2.0,Stimulus Start,6,-269274,-1077.096,False,0,5421,5432,4.0,Stimulus
-1076.088,123043,11.0,3.0,2.0,Stimulus End,6,-269022,-1076.088,False,0,5421,5432,4.0,Stimulus
-1076.088,123043,12.0,3.0,2.0,Choice Start,6,-269022,-1076.088,False,0,5421,5432,4.0,Choice
-1072.564,126570,13.0,3.0,2.0,Choice End,6,-268141,-1072.564,False,0,5421,5432,4.0,Choice
-1072.564,126570,14.0,3.0,2.0,Feedback Start,6,-268141,-1072.564,False,0,5421,5432,4.0,
-1071.052,128080,15.0,3.0,2.0,Feedback End,6,-267763,-1071.052,False,0,5421,5432,4.0,
-1071.052,128080,9.0,3.0,2.0,Main Trial End,6,-267763,-1071.052,False,0,5421,5432,4.0,
-1071.052,128080,8.0,4.0,1.0,Main Trial Start,7,-267763,-1071.052,False,0,4213,4231,4.0,
-1071.052,128080,1.0,4.0,1.0,Fixation Start,7,-267763,-1071.052,False,0,4213,4231,4.0,
-1071.016,128115,2.0,4.0,1.0,Fixation End,7,-267754,-1071.016,False,0,4213,4231,4.0,
-1070.02,129114,10.0,4.0,1.0,Stimulus Start,7,-267505,-1070.02,False,0,4213,4231,4.0,Stimulus
-1069.016,130118,11.0,4.0,1.0,Stimulus End,7,-267254,-1069.016,False,0,4213,4231,4.0,Stimulus
-1069.016,130118,1.0,4.0,1.0,Fixation Start,7,-267254,-1069.016,False,0,4213,4231,4.0,Stimulus
-1068.972,130161,2.0,4.0,1.0,Fixation End,7,-267243,-1068.972,False,0,4213,4231,4.0,Stimulus
-1067.976,131159,10.0,4.0,1.0,Stimulus Start,7,-266994,-1067.976,False,0,4213,4231,4.0,Stimulus
-1066.968,132164,11.0,4.0,1.0,Stimulus End,7,-266742,-1066.968,False,0,4213,4231,4.0,Stimulus
-1066.968,132164,1.0,4.0,1.0,Fixation Start,7,-266742,-1066.968,False,0,4213,4231,4.0,Stimulus
-1066.948,132186,2.0,4.0,1.0,Fixation End,7,-266737,-1066.948,False,0,4213,4231,4.0,Stimulus
-1065.948,133184,10.0,4.0,1.0,Stimulus Start,7,-266487,-1065.948,False,0,4213,4231,4.0,Stimulus
-1064.944,134189,11.0,4.0,1.0,Stimulus End,7,-266236,-1064.944,False,0,4213,4231,4.0,Stimulus
-1064.944,134189,1.0,4.0,1.0,Fixation Start,7,-266236,-1064.944,False,0,4213,4231,4.0,Stimulus
-1064.92,134211,2.0,4.0,1.0,Fixation End,7,-266230,-1064.92,False,0,4213,4231,4.0,Stimulus
-1063.924,135209,10.0,4.0,1.0,Stimulus Start,7,-265981,-1063.924,False,0,4213,4231,4.0,Stimulus
-1062.92,136214,11.0,4.0,1.0,Stimulus End,7,-265730,-1062.92,False,0,4213,4231,4.0,Stimulus
-1062.92,136214,12.0,4.0,1.0,Choice Start,7,-265730,-1062.92,False,0,4213,4231,4.0,Choice
-1059.16,139975,13.0,4.0,1.0,Choice End,7,-264790,-1059.16,False,0,4213,4231,4.0,Choice
-1059.16,139975,14.0,4.0,1.0,Feedback Start,7,-264790,-1059.16,False,0,4213,4231,4.0,
-1057.648,141484,15.0,4.0,1.0,Feedback End,7,-264412,-1057.648,False,0,4213,4231,4.0,
-1057.648,141484,9.0,4.0,1.0,Main Trial End,7,-264412,-1057.648,False,0,4213,4231,4.0,
-1057.648,141484,8.0,4.0,2.0,Main Trial Start,8,-264412,-1057.648,False,0,4531,5341,4.0,
-1057.648,141484,1.0,4.0,2.0,Fixation Start,8,-264412,-1057.648,False,0,4531,5341,4.0,
-1057.596,141536,2.0,4.0,2.0,Fixation End,8,-264399,-1057.596,False,0,4531,5341,4.0,
-1056.6,142534,10.0,4.0,2.0,Stimulus Start,8,-264150,-1056.6,False,0,4531,5341,4.0,Stimulus
-1055.584,143551,11.0,4.0,2.0,Stimulus End,8,-263896,-1055.584,False,0,4531,5341,4.0,Stimulus
-1055.584,143551,1.0,4.0,2.0,Fixation Start,8,-263896,-1055.584,False,0,4531,5341,4.0,Stimulus
-1055.552,143581,2.0,4.0,2.0,Fixation End,8,-263888,-1055.552,False,0,4531,5341,4.0,Stimulus
-1054.552,144580,10.0,4.0,2.0,Stimulus Start,8,-263638,-1054.552,False,0,4531,5341,4.0,Stimulus
-1053.548,145584,11.0,4.0,2.0,Stimulus End,8,-263387,-1053.548,False,0,4531,5341,4.0,Stimulus
-1053.548,145584,1.0,4.0,2.0,Fixation Start,8,-263387,-1053.548,False,0,4531,5341,4.0,Stimulus
-1053.532,145602,2.0,4.0,2.0,Fixation End,8,-263383,-1053.532,False,0,4531,5341,4.0,Stimulus
-1052.532,146601,10.0,4.0,2.0,Stimulus Start,8,-263133,-1052.532,False,0,4531,5341,4.0,Stimulus
-1051.528,147605,11.0,4.0,2.0,Stimulus End,8,-262882,-1051.528,False,0,4531,5341,4.0,Stimulus
-1051.528,147605,1.0,4.0,2.0,Fixation Start,8,-262882,-1051.528,False,0,4531,5341,4.0,Stimulus
-1051.512,147623,2.0,4.0,2.0,Fixation End,8,-262878,-1051.512,False,0,4531,5341,4.0,Stimulus
-1050.512,148622,10.0,4.0,2.0,Stimulus Start,8,-262628,-1050.512,False,0,4531,5341,4.0,Stimulus
-1049.508,149626,11.0,4.0,2.0,Stimulus End,8,-262377,-1049.508,False,0,4531,5341,4.0,Stimulus
-1049.508,149626,12.0,4.0,2.0,Choice Start,8,-262377,-1049.508,False,0,4531,5341,4.0,Choice
-1046.496,152637,13.0,4.0,2.0,Choice End,8,-261624,-1046.496,False,0,4531,5341,4.0,Choice
-1046.496,152637,14.0,4.0,2.0,Feedback Start,8,-261624,-1046.496,False,0,4531,5341,4.0,
-1044.984,154147,15.0,4.0,2.0,Feedback End,8,-261246,-1044.984,False,0,4531,5341,4.0,
-1044.984,154147,9.0,4.0,2.0,Main Trial End,8,-261246,-1044.984,False,0,4531,5341,4.0,
-1044.984,154147,8.0,5.0,1.0,Main Trial Start,9,-261246,-1044.984,False,1,5132,5132,4.0,
-1044.984,154147,1.0,5.0,1.0,Fixation Start,9,-261246,-1044.984,False,1,5132,5132,4.0,
-1044.956,154177,2.0,5.0,1.0,Fixation End,9,-261239,-1044.956,False,1,5132,5132,4.0,
-1043.956,155176,10.0,5.0,1.0,Stimulus Start,9,-260989,-1043.956,False,1,5132,5132,4.0,Stimulus
-1042.952,156180,11.0,5.0,1.0,Stimulus End,9,-260738,-1042.952,False,1,5132,5132,4.0,Stimulus
-1042.952,156180,1.0,5.0,1.0,Fixation Start,9,-260738,-1042.952,False,1,5132,5132,4.0,Stimulus
-1042.936,156198,2.0,5.0,1.0,Fixation End,9,-260734,-1042.936,False,1,5132,5132,4.0,Stimulus
-1041.936,157197,10.0,5.0,1.0,Stimulus Start,9,-260484,-1041.936,False,1,5132,5132,4.0,Stimulus
-1040.932,158201,11.0,5.0,1.0,Stimulus End,9,-260233,-1040.932,False,1,5132,5132,4.0,Stimulus
-1040.932,158201,1.0,5.0,1.0,Fixation Start,9,-260233,-1040.932,False,1,5132,5132,4.0,Stimulus
-1040.912,158219,2.0,5.0,1.0,Fixation End,9,-260228,-1040.912,False,1,5132,5132,4.0,Stimulus
-1039.916,159218,10.0,5.0,1.0,Stimulus Start,9,-259979,-1039.916,False,1,5132,5132,4.0,Stimulus
-1038.912,160222,11.0,5.0,1.0,Stimulus End,9,-259728,-1038.912,False,1,5132,5132,4.0,Stimulus
-1038.912,160222,1.0,5.0,1.0,Fixation Start,9,-259728,-1038.912,False,1,5132,5132,4.0,Stimulus
-1038.888,160244,2.0,5.0,1.0,Fixation End,9,-259722,-1038.888,False,1,5132,5132,4.0,Stimulus
-1037.888,161243,10.0,5.0,1.0,Stimulus Start,9,-259472,-1037.888,False,1,5132,5132,4.0,Stimulus
-1036.888,162247,11.0,5.0,1.0,Stimulus End,9,-259222,-1036.888,False,1,5132,5132,4.0,Stimulus
-1036.888,162247,12.0,5.0,1.0,Choice Start,9,-259222,-1036.888,False,1,5132,5132,4.0,Choice
-1034.032,165100,13.0,5.0,1.0,Choice End,9,-258508,-1034.032,False,1,5132,5132,4.0,Choice
-1034.032,165100,14.0,5.0,1.0,Feedback Start,9,-258508,-1034.032,False,1,5132,5132,4.0,
-1032.524,166609,15.0,5.0,1.0,Feedback End,9,-258131,-1032.524,False,1,5132,5132,4.0,
-1032.524,166609,9.0,5.0,1.0,Main Trial End,9,-258131,-1032.524,False,1,5132,5132,4.0,
-1032.524,166609,8.0,5.0,2.0,Main Trial Start,10,-258131,-1032.524,False,0,2341,2314,4.0,
-1032.524,166609,1.0,5.0,2.0,Fixation Start,10,-258131,-1032.524,False,0,2341,2314,4.0,
-1032.496,166636,2.0,5.0,2.0,Fixation End,10,-258124,-1032.496,False,0,2341,2314,4.0,
-1031.5,167634,10.0,5.0,2.0,Stimulus Start,10,-257875,-1031.5,False,0,2341,2314,4.0,Stimulus
-1030.496,168639,11.0,5.0,2.0,Stimulus End,10,-257624,-1030.496,False,0,2341,2314,4.0,Stimulus
-1030.496,168639,1.0,5.0,2.0,Fixation Start,10,-257624,-1030.496,False,0,2341,2314,4.0,Stimulus
-1030.476,168656,2.0,5.0,2.0,Fixation End,10,-257619,-1030.476,False,0,2341,2314,4.0,Stimulus
-1029.48,169655,10.0,5.0,2.0,Stimulus Start,10,-257370,-1029.48,False,0,2341,2314,4.0,Stimulus
-1028.472,170659,11.0,5.0,2.0,Stimulus End,10,-257118,-1028.472,False,0,2341,2314,4.0,Stimulus
-1028.472,170659,1.0,5.0,2.0,Fixation Start,10,-257118,-1028.472,False,0,2341,2314,4.0,Stimulus
-1028.456,170677,2.0,5.0,2.0,Fixation End,10,-257114,-1028.456,False,0,2341,2314,4.0,Stimulus
-1027.456,171676,10.0,5.0,2.0,Stimulus Start,10,-256864,-1027.456,False,0,2341,2314,4.0,Stimulus
-1026.452,172680,11.0,5.0,2.0,Stimulus End,10,-256613,-1026.452,False,0,2341,2314,4.0,Stimulus
-1026.452,172680,1.0,5.0,2.0,Fixation Start,10,-256613,-1026.452,False,0,2341,2314,4.0,Stimulus
-1026.436,172698,2.0,5.0,2.0,Fixation End,10,-256609,-1026.436,False,0,2341,2314,4.0,Stimulus
-1025.436,173697,10.0,5.0,2.0,Stimulus Start,10,-256359,-1025.436,False,0,2341,2314,4.0,Stimulus
-1024.432,174701,11.0,5.0,2.0,Stimulus End,10,-256108,-1024.432,False,0,2341,2314,4.0,Stimulus
-1024.432,174701,12.0,5.0,2.0,Choice Start,10,-256108,-1024.432,False,0,2341,2314,4.0,Choice
-1022.24,176895,13.0,5.0,2.0,Choice End,10,-255560,-1022.24,False,0,2341,2314,4.0,Choice
-1022.24,176895,14.0,5.0,2.0,Feedback Start,10,-255560,-1022.24,False,0,2341,2314,4.0,
-1020.728,178405,15.0,5.0,2.0,Feedback End,10,-255182,-1020.728,False,0,2341,2314,4.0,
-1020.728,178405,9.0,5.0,2.0,Main Trial End,10,-255182,-1020.728,False,0,2341,2314,4.0,
-1020.728,178405,8.0,6.0,1.0,Main Trial Start,11,-255182,-1020.728,False,0,2135,1325,4.0,
-1020.728,178405,1.0,6.0,1.0,Fixation Start,11,-255182,-1020.728,False,0,2135,1325,4.0,
-1020.704,178431,2.0,6.0,1.0,Fixation End,11,-255176,-1020.704,False,0,2135,1325,4.0,
-1019.704,179430,10.0,6.0,1.0,Stimulus Start,11,-254926,-1019.704,False,0,2135,1325,4.0,Stimulus
-1018.7,180434,11.0,6.0,1.0,Stimulus End,11,-254675,-1018.7,False,0,2135,1325,4.0,Stimulus
-1018.7,180434,1.0,6.0,1.0,Fixation Start,11,-254675,-1018.7,False,0,2135,1325,4.0,Stimulus
-1018.68,180452,2.0,6.0,1.0,Fixation End,11,-254670,-1018.68,False,0,2135,1325,4.0,Stimulus
-1017.68,181451,10.0,6.0,1.0,Stimulus Start,11,-254420,-1017.68,False,0,2135,1325,4.0,Stimulus
-1016.68,182455,11.0,6.0,1.0,Stimulus End,11,-254170,-1016.68,False,0,2135,1325,4.0,Stimulus
-1016.68,182455,1.0,6.0,1.0,Fixation Start,11,-254170,-1016.68,False,0,2135,1325,4.0,Stimulus
-1016.66,182473,2.0,6.0,1.0,Fixation End,11,-254165,-1016.66,False,0,2135,1325,4.0,Stimulus
-1015.66,183472,10.0,6.0,1.0,Stimulus Start,11,-253915,-1015.66,False,0,2135,1325,4.0,Stimulus
-1014.656,184476,11.0,6.0,1.0,Stimulus End,11,-253664,-1014.656,False,0,2135,1325,4.0,Stimulus
-1014.656,184476,1.0,6.0,1.0,Fixation Start,11,-253664,-1014.656,False,0,2135,1325,4.0,Stimulus
