trial,digits,acc,cresp,resp,window,stim_label,is_stim_on,is_stim_off,is_transition,pct_on,n_samples,rms,mean_pow,auc,t_start,t_end,session,subject,date
1,2,1,34,34,encoding,STIM OFF,False,True,False,0.0,8,1.002496882788171,1.005,3.5000000000000004,34067.0,38109.0,2,6,03-05-2026
1,2,1,34,34,response,STIM OFF,False,True,False,0.0,4,0.8514693182963201,0.7250000000000001,1.275,38109.0,40364.0,2,6,03-05-2026
1,2,1,34,34,feedback,STIM OFF,False,True,False,0.0,3,0.834665601703261,0.6966666666666668,0.8250000000000001,40364.0,41876.0,2,6,03-05-2026
2,2,1,25,25,encoding,STIM OFF,False,True,False,0.0,8,0.9772410142846032,0.9550000000000001,3.4,41876.0,45934.0,2,6,03-05-2026
2,2,1,25,25,response,STIM OFF,False,True,False,0.0,3,1.1,1.2100000000000002,1.1,45934.0,47444.0,2,6,03-05-2026
2,2,1,25,25,feedback,STIM OFF,False,True,False,0.0,3,1.2000000000000002,1.4400000000000002,1.2,47444.0,48955.0,2,6,03-05-2026
3,3,1,141,141,encoding,STIM OFF,False,True,False,0.0,13,1.9467922333931784,3.7899999999999996,11.7,48955.0,55030.0,2,6,03-05-2026
3,3,1,141,141,response,STIM OFF,False,True,False,0.0,4,1.9506409203131159,3.8049999999999997,2.925,55030.0,57180.0,2,6,03-05-2026
3,3,1,141,141,feedback,STIM OFF,False,True,False,0.0,3,0.08164965809277261,0.006666666666666668,0.07500000000000001,57180.0,58688.0,2,6,03-05-2026
4,3,1,532,532,encoding,STIM OFF,False,True,False,0.0,12,0.07637626158259733,0.005833333333333334,0.325,58688.0,64776.0,2,6,03-05-2026
4,3,1,532,532,response,STIM OFF,False,True,False,0.0,6,0.05773502691896258,0.003333333333333334,0.07500000000000001,64776.0,67506.0,2,6,03-05-2026
4,3,1,532,532,feedback,STIM OFF,False,True,False,0.0,3,0.05773502691896258,0.003333333333333334,0.025,67506.0,69017.0,2,6,03-05-2026
5,4,1,5432,5432,encoding,STIM OFF,False,True,False,0.0,16,0.1,0.010000000000000002,0.55,69017.0,77130.0,2,6,03-05-2026
5,4,1,5432,5432,response,STIM OFF,False,True,False,0.0,6,1.03440804327886,1.07,2.575,77130.0,80071.0,2,6,03-05-2026
5,4,1,5432,5432,feedback,STIM OFF,False,True,False,0.0,3,1.03440804327886,1.07,1.025,80071.0,81580.0,2,6,03-05-2026
6,4,0,5421,5432,encoding,STIM OFF,False,True,False,0.0,2,1.0,1.0,0.5,81580.0,89676.0,2,6,03-05-2026
6,4,0,5421,5432,response,UNKNOWN,False,False,False,,0,,,,89676.0,93203.0,2,6,03-05-2026
6,4,0,5421,5432,feedback,UNKNOWN,False,False,False,,0,,,,93203.0,94713.0,2,6,03-05-2026
7,4,0,4213,4231,encoding,STIM OFF,False,True,False,0.0,16,2.120288895410246,4.495625,15.925000000000002,94713.0,102847.0,2,6,03-05-2026
7,4,0,4213,4231,response,STIM OFF,False,True,False,0.0,7,2.229029257002121,4.968571428571429,6.675000000000001,102847.0,106608.0,2,6,03-05-2026
7,4,0,4213,4231,feedback,STIM OFF,False,True,False,0.0,3,3.033699611585388,9.203333333333333,3.025,106608.0,108117.0,2,6,03-05-2026
8,4,0,4531,5341,encoding,STIM OFF,False,True,False,0.0,17,3.0533491736895386,9.32294117647059,24.4,108117.0,116259.0,2,6,03-05-2026
8,4,0,4531,5341,response,STIM OFF,False,True,False,0.0,6,3.0670289641062514,9.406666666666666,7.6499999999999995,116259.0,119270.0,2,6,03-05-2026
8,4,0,4531,5341,feedback,STIM OFF,False,True,False,0.0,3,3.13368792319848,9.820000000000002,3.125,119270.0,120780.0,2,6,03-05-2026
9,4,1,5132,5132,encoding,TRANSITION (encoding→response),False,False,True,0.625,16,3.869673758858749,14.974374999999998,29.05,120780.0,128880.0,2,6,03-05-2026
9,4,1,5132,5132,response,STIM ON,True,False,False,1.0,5,4.020199000049624,16.162,8.05,128880.0,131733.0,2,6,03-05-2026
9,4,1,5132,5132,feedback,STIM ON,True,False,False,1.0,3,4.033608806019741,16.27,4.025,131733.0,133242.0,2,6,03-05-2026
10,4,0,2341,2314,encoding,STIM ON,True,False,False,1.0,17,4.308404918432862,18.562352941176474,34.475,133242.0,141334.0,2,6,03-05-2026
10,4,0,2341,2314,response,STIM ON,True,False,False,1.0,4,4.450280890011326,19.805,6.675000000000001,141334.0,143528.0,2,6,03-05-2026
