Time,Time_ms,Event,Block,Trial_In_Block,Event_Type,Trial_Number,Sample_Index,Time_Relative,Valid,ACC,CRESP,RESP,Num_Digits,Window
-1968.04,19854,6.0,,,Session Start,,-492010,-1968.04,False,,,,,
-1934.904,52990,8.0,1.0,1.0,Main Trial Start,1,-483726,-1934.904,False,0,23,24,2.0,
-1934.904,52990,1.0,1.0,1.0,Fixation Start,1,-483726,-1934.904,False,0,23,24,2.0,
-1934.888,53006,2.0,1.0,1.0,Fixation End,1,-483722,-1934.888,False,0,23,24,2.0,
-1933.892,54005,10.0,1.0,1.0,Stimulus Start,1,-483473,-1933.892,False,0,23,24,2.0,Stimulus
-1932.888,55009,11.0,1.0,1.0,Stimulus End,1,-483222,-1932.888,False,0,23,24,2.0,Stimulus
-1932.888,55009,1.0,1.0,1.0,Fixation Start,1,-483222,-1932.888,False,0,23,24,2.0,Stimulus
-1932.864,55031,2.0,1.0,1.0,Fixation End,1,-483216,-1932.864,False,0,23,24,2.0,Stimulus
-1931.864,56030,10.0,1.0,1.0,Stimulus Start,1,-482966,-1931.864,False,0,23,24,2.0,Stimulus
-1930.864,57034,11.0,1.0,1.0,Stimulus End,1,-482716,-1930.864,False,0,23,24,2.0,Stimulus
-1930.864,57034,12.0,1.0,1.0,Choice Start,1,-482716,-1930.864,False,0,23,24,2.0,Choice
-1928.264,59631,13.0,1.0,1.0,Choice End,1,-482066,-1928.264,False,0,23,24,2.0,Choice
-1928.264,59631,14.0,1.0,1.0,Feedback Start,1,-482066,-1928.264,False,0,23,24,2.0,
-1926.752,61142,15.0,1.0,1.0,Feedback End,1,-481688,-1926.752,False,0,23,24,2.0,
-1926.752,61142,9.0,1.0,1.0,Main Trial End,1,-481688,-1926.752,False,0,23,24,2.0,
-1926.752,61142,8.0,1.0,2.0,Main Trial Start,2,-481688,-1926.752,False,1,14,14,2.0,
-1926.752,61142,1.0,1.0,2.0,Fixation Start,2,-481688,-1926.752,False,1,14,14,2.0,
-1926.728,61168,2.0,1.0,2.0,Fixation End,2,-481682,-1926.728,False,1,14,14,2.0,
-1925.728,62167,10.0,1.0,2.0,Stimulus Start,2,-481432,-1925.728,False,1,14,14,2.0,Stimulus
-1924.724,63171,11.0,1.0,2.0,Stimulus End,2,-481181,-1924.724,False,1,14,14,2.0,Stimulus
-1924.724,63171,1.0,1.0,2.0,Fixation Start,2,-481181,-1924.724,False,1,14,14,2.0,Stimulus
-1924.704,63193,2.0,1.0,2.0,Fixation End,2,-481176,-1924.704,False,1,14,14,2.0,Stimulus
-1923.704,64192,10.0,1.0,2.0,Stimulus Start,2,-480926,-1923.704,False,1,14,14,2.0,Stimulus
-1922.7,65196,11.0,1.0,2.0,Stimulus End,2,-480675,-1922.7,False,1,14,14,2.0,Stimulus
-1922.7,65196,12.0,1.0,2.0,Choice Start,2,-480675,-1922.7,False,1,14,14,2.0,Choice
-1920.936,66962,13.0,1.0,2.0,Choice End,2,-480234,-1920.936,False,1,14,14,2.0,Choice
-1920.936,66962,14.0,1.0,2.0,Feedback Start,2,-480234,-1920.936,False,1,14,14,2.0,
-1919.424,68471,15.0,1.0,2.0,Feedback End,2,-479856,-1919.424,False,1,14,14,2.0,
-1919.424,68471,9.0,1.0,2.0,Main Trial End,2,-479856,-1919.424,False,1,14,14,2.0,
-1919.424,68471,8.0,2.0,1.0,Main Trial Start,3,-479856,-1919.424,False,1,25,25,2.0,
-1919.424,68471,1.0,2.0,1.0,Fixation Start,3,-479856,-1919.424,False,1,25,25,2.0,
-1919.4,68497,2.0,2.0,1.0,Fixation End,3,-479850,-1919.4,False,1,25,25,2.0,
-1918.4,69496,10.0,2.0,1.0,Stimulus Start,3,-479600,-1918.4,False,1,25,25,2.0,Stimulus
-1917.396,70500,11.0,2.0,1.0,Stimulus End,3,-479349,-1917.396,False,1,25,25,2.0,Stimulus
-1917.396,70500,1.0,2.0,1.0,Fixation Start,3,-479349,-1917.396,False,1,25,25,2.0,Stimulus
-1917.376,70518,2.0,2.0,1.0,Fixation End,3,-479344,-1917.376,False,1,25,25,2.0,Stimulus
-1916.38,71517,10.0,2.0,1.0,Stimulus Start,3,-479095,-1916.38,False,1,25,25,2.0,Stimulus
-1915.376,72521,11.0,2.0,1.0,Stimulus End,3,-478844,-1915.376,False,1,25,25,2.0,Stimulus
-1915.376,72521,12.0,2.0,1.0,Choice Start,3,-478844,-1915.376,False,1,25,25,2.0,Choice
-1913.996,73901,13.0,2.0,1.0,Choice End,3,-478499,-1913.996,False,1,25,25,2.0,Choice
-1913.996,73901,14.0,2.0,1.0,Feedback Start,3,-478499,-1913.996,False,1,25,25,2.0,
-1912.484,75413,15.0,2.0,1.0,Feedback End,3,-478121,-1912.484,False,1,25,25,2.0,
-1912.484,75413,9.0,2.0,1.0,Main Trial End,3,-478121,-1912.484,False,1,25,25,2.0,
-1912.484,75413,8.0,2.0,2.0,Main Trial Start,4,-478121,-1912.484,False,1,34,34,2.0,
-1912.484,75413,1.0,2.0,2.0,Fixation Start,4,-478121,-1912.484,False,1,34,34,2.0,
-1912.46,75435,2.0,2.0,2.0,Fixation End,4,-478115,-1912.46,False,1,34,34,2.0,
-1911.464,76434,10.0,2.0,2.0,Stimulus Start,4,-477866,-1911.464,False,1,34,34,2.0,Stimulus
-1910.456,77438,11.0,2.0,2.0,Stimulus End,4,-477614,-1910.456,False,1,34,34,2.0,Stimulus
-1910.456,77438,1.0,2.0,2.0,Fixation Start,4,-477614,-1910.456,False,1,34,34,2.0,Stimulus
-1910.436,77460,2.0,2.0,2.0,Fixation End,4,-477609,-1910.436,False,1,34,34,2.0,Stimulus
-1909.436,78459,10.0,2.0,2.0,Stimulus Start,4,-477359,-1909.436,False,1,34,34,2.0,Stimulus
-1908.432,79463,11.0,2.0,2.0,Stimulus End,4,-477108,-1908.432,False,1,34,34,2.0,Stimulus
-1908.432,79463,12.0,2.0,2.0,Choice Start,4,-477108,-1908.432,False,1,34,34,2.0,Choice
-1905.84,82056,13.0,2.0,2.0,Choice End,4,-476460,-1905.84,False,1,34,34,2.0,Choice
-1905.84,82056,14.0,2.0,2.0,Feedback Start,4,-476460,-1905.84,False,1,34,34,2.0,
-1904.328,83567,15.0,2.0,2.0,Feedback End,4,-476082,-1904.328,False,1,34,34,2.0,
